date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:09:34	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2027%20May%202023%2023:09:33%20GMT	https://www.bokaboka.es/robots.txt		(from )
16:09:34	28169/28169	---M-Z	200	added ('OK')	text/html	date:Sat,%2027%20May%202023%2023:09:33%20GMT	https://www.bokaboka.es/	C:/My%20Web%20Sites/bokoboko/www.bokaboka.es/index.html	(from )
16:09:34	93806/93806	---M-Z	200	added ('OK')	text/css	etag:%22b6affc866d0721812e9f2860e6309aab%22	https://assets.website-files.com/618d86c673be275b3e52b4ca/css/boka-boka-prod.webflow.97a939b33.css	C:/My%20Web%20Sites/bokoboko/assets.website-files.com/618d86c673be275b3e52b4ca/css/boka-boka-prod.webflow.97a939b33.css	(from https://www.bokaboka.es/)
16:09:34	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/bokoboko/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.bokaboka.es/)
16:09:35	1286/1286	---M--	200	added ('OK')	image/jpeg	etag:%223988ad16a47b5c91967a6dd9ef01daf4%22	https://assets.website-files.com/618d86c673be275b3e52b4ca/618d874d7fafdd0a93756c96_Favicon_small.jpg	C:/My%20Web%20Sites/bokoboko/assets.website-files.com/618d86c673be275b3e52b4ca/618d874d7fafdd0a93756c96_Favicon_small.jpg	(from https://www.bokaboka.es/)
16:09:36	10233/10233	---M--	200	added ('OK')	image/jpeg	etag:%224ce7baabc440f0bfe7420a88284e87a0%22	https://assets.website-files.com/618d86c673be275b3e52b4ca/618d8755383de9792e0e46c0_Favicon_big.jpg	C:/My%20Web%20Sites/bokoboko/assets.website-files.com/618d86c673be275b3e52b4ca/618d8755383de9792e0e46c0_Favicon_big.jpg	(from https://www.bokaboka.es/)
16:09:36	226916/226916	---MC-	200	added ('OK')	application/javascript	date:Sat,%2027%20May%202023%2023:09:36%20GMT	https://www.googletagmanager.com/gtag/js?id=G-8977534E3H	C:/My%20Web%20Sites/bokoboko/www.googletagmanager.com/gtag/jsaf7b	(from https://www.bokaboka.es/)
16:09:36	10289/10289	---MCZ	200	added ('OK')	application/javascript	etag:W/%228022976e92cc4e3292d84657a4b64e33%22	https://cdn.jetboost.io/jetboost.js	C:/My%20Web%20Sites/bokoboko/cdn.jetboost.io/jetboost.js	(from https://www.bokaboka.es/)
16:09:37	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2027%20May%202023%2023:09:37%20GMT	https://www.bokaboka.es/doctor	C:/My%20Web%20Sites/bokoboko/www.bokaboka.es/doctor	(from https://www.bokaboka.es/)
16:09:37	36307/36307	---M-Z	200	added ('OK')	text/html	date:Sat,%2027%20May%202023%2023:09:37%20GMT	https://www.bokaboka.es/ginecologo-y-matrona	C:/My%20Web%20Sites/bokoboko/www.bokaboka.es/ginecologo-y-matrona.html	(from https://www.bokaboka.es/)
16:09:38	30746/30746	---M-Z	200	added ('OK')	text/html	date:Sat,%2027%20May%202023%2023:09:37%20GMT	https://www.bokaboka.es/pediatra	C:/My%20Web%20Sites/bokoboko/www.bokaboka.es/pediatra.html	(from https://www.bokaboka.es/)
16:09:38	23327/23327	---M-Z	200	added ('OK')	text/html	date:Sat,%2027%20May%202023%2023:09:38%20GMT	https://www.bokaboka.es/recomienda	C:/My%20Web%20Sites/bokoboko/www.bokaboka.es/recomienda.html	(from https://www.bokaboka.es/)
16:09:39	62616/62616	---M--	200	added ('OK')	image/jpeg	etag:%2258a32175c02a3402e06350247c1141d8%22	https://assets.website-files.com/618d86c673be275b3e52b4ca/6244b0e47241bca3ea9395c7_Stocksy_txp7124ec96iON300_Small_2571896.jpg	C:/My%20Web%20Sites/bokoboko/assets.website-files.com/618d86c673be275b3e52b4ca/6244b0e47241bca3ea9395c7_Stocksy_txp7124ec96iON300_Small_2571896.jpg	(from https://www.bokaboka.es/)
16:09:39	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2027%20May%202023%2023:09:39%20GMT	https://www.instagram.com/bokaboka_vegan/	C:/My%20Web%20Sites/bokoboko/www.instagram.com/bokaboka_vegan/index.html	(from https://www.bokaboka.es/)
16:09:40	203990/203990	---M--	200	added ('OK')	image/jpeg	etag:%22daa206fc100391661f66463f1142f9e1%22	https://assets.website-files.com/618d86c673be275b3e52b4ca/62b5da97b4830829f2ad75d8_Stocksy_txp9523e8338zM300_Medium_4021686-(1).jpg	C:/My%20Web%20Sites/bokoboko/assets.website-files.com/618d86c673be275b3e52b4ca/62b5da97b4830829f2ad75d8_Stocksy_txp9523e8338zM300_Medium_4021686-(1).jpg	(from https://www.bokaboka.es/)
16:09:40	73781/73781	---M--	200	added ('OK')	image/jpeg	etag:%22a7b5c5324c87bb9f031663b5050344a0%22	https://assets.website-files.com/618d86c673be275b3e52b4ca/62b5dbc59b231c439bb31755_Stocksy_txpb3bd31c8TzM300_Medium_4016305.jpg	C:/My%20Web%20Sites/bokoboko/assets.website-files.com/618d86c673be275b3e52b4ca/62b5dbc59b231c439bb31755_Stocksy_txpb3bd31c8TzM300_Medium_4016305.jpg	(from https://www.bokaboka.es/)
16:09:41	299518/299518	---M--	200	added ('OK')	image/jpeg	etag:%227a1935e7fc5df782e2b40936fd8e4a12%22	https://assets.website-files.com/618d86c673be275b3e52b4ca/6244b1417241bc678d93970c_Stocksy_txp9523e8338zM300_Small_3684519.jpg	C:/My%20Web%20Sites/bokoboko/assets.website-files.com/618d86c673be275b3e52b4ca/6244b1417241bc678d93970c_Stocksy_txp9523e8338zM300_Small_3684519.jpg	(from https://www.bokaboka.es/)
16:09:41	118821/118821	---M--	200	added ('OK')	image/jpeg	etag:%2211377fbdca44d7f7182f85297db76704%22	https://assets.website-files.com/618d86c673be275b3e52b4ca/6244b0e376e7d415ba908752_Stocksy_txp7124ec96iON300_Small_888276.jpg	C:/My%20Web%20Sites/bokoboko/assets.website-files.com/618d86c673be275b3e52b4ca/6244b0e376e7d415ba908752_Stocksy_txp7124ec96iON300_Small_888276.jpg	(from https://www.bokaboka.es/)
16:09:42	137779/137779	---M--	200	added ('OK')	image/jpeg	etag:%226baed2824a127691eea4e8db4ed7d454%22	https://assets.website-files.com/618d86c673be275b3e52b4ca/624af2b9262b41d97e796d0a_Stocksy_txp9523e8338zM300_Medium_4015954.jpg	C:/My%20Web%20Sites/bokoboko/assets.website-files.com/618d86c673be275b3e52b4ca/624af2b9262b41d97e796d0a_Stocksy_txp9523e8338zM300_Medium_4015954.jpg	(from https://www.bokaboka.es/)
16:09:42	23352/23352	---M--	200	added ('OK')	image/jpeg	etag:%222fbbbd0c1813154311f4500b5989bebd%22	https://assets.website-files.com/618d86c673be275b3e52b4ca/6244b38b99a4723ed3b93a31_Stocksy_txp7124ec96iON300_Small_3595149.jpg	C:/My%20Web%20Sites/bokoboko/assets.website-files.com/618d86c673be275b3e52b4ca/6244b38b99a4723ed3b93a31_Stocksy_txp7124ec96iON300_Small_3595149.jpg	(from https://www.bokaboka.es/)
16:09:43	31650/31650	---M--	200	added ('OK')	image/jpeg	etag:%2228a30439fb6b8c9a6f0fbf9acf3db165%22	https://assets.website-files.com/618d86c673be275b3e52b4ca/6244b38ba47418832b850557_Stocksy_txp7124ec96iON300_Small_2008008.jpg	C:/My%20Web%20Sites/bokoboko/assets.website-files.com/618d86c673be275b3e52b4ca/6244b38ba47418832b850557_Stocksy_txp7124ec96iON300_Small_2008008.jpg	(from https://www.bokaboka.es/)
16:09:43	45180/45180	---M--	200	added ('OK')	image/jpeg	etag:%2251d81dbba629149568811fbd445ddc51%22	https://assets.website-files.com/618d86c673be275b3e52b4ca/6244b38bec3dc82a20e9425a_Stocksy_txp7124ec96iON300_Small_2863843.jpg	C:/My%20Web%20Sites/bokoboko/assets.website-files.com/618d86c673be275b3e52b4ca/6244b38bec3dc82a20e9425a_Stocksy_txp7124ec96iON300_Small_2863843.jpg	(from https://www.bokaboka.es/)
16:09:43	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2027%20May%202023%2023:09:43%20GMT	https://www.bokaboka.es/privacidad-y-terminos	C:/My%20Web%20Sites/bokoboko/www.bokaboka.es/privacidad-y-terminos	(from https://www.bokaboka.es/)
16:09:43	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=618d86c673be275b3e52b4ca	C:/My%20Web%20Sites/bokoboko/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8829b.js	(from https://www.bokaboka.es/)
16:09:45	824144/824144	---M-Z	200	added ('OK')	text/javascript	etag:%2258989c336377c5c96f1bf6f6cd578ae3%22	https://assets.website-files.com/618d86c673be275b3e52b4ca/js/webflow.9efaf8ae0.js	C:/My%20Web%20Sites/bokoboko/assets.website-files.com/618d86c673be275b3e52b4ca/js/webflow.9efaf8ae0.js	(from https://www.bokaboka.es/)
16:09:45	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2027%20May%202023%2023:09:45%20GMT	https://www.googletagmanager.com/robots.txt		(from https://www.bokaboka.es/)
16:09:49	245/245	---M-Z	200	added ('OK')	text/plain	date:Tue,%2023%20May%202023%2010:33:21%20GMT	https://www.instagram.com/robots.txt		(from https://www.bokaboka.es/)
16:09:50	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2027%20May%202023%2023:09:47%20GMT	https://www.bokaboka.es/doctor	C:/My%20Web%20Sites/bokoboko/www.bokaboka.es/doctor	(from https://www.bokaboka.es/)
16:09:51	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2027%20May%202023%2023:09:50%20GMT	https://www.bokaboka.es/privacidad-y-terminos	C:/My%20Web%20Sites/bokoboko/www.bokaboka.es/privacidad-y-terminos	(from https://www.bokaboka.es/)
16:09:51	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2027%20May%202023%2023:09:50%20GMT	https://www.bokaboka.es/doctor	C:/My%20Web%20Sites/bokoboko/www.bokaboka.es/doctor	(from https://www.bokaboka.es/)
16:09:51	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2027%20May%202023%2023:09:51%20GMT	https://www.bokaboka.es/privacidad-y-terminos	C:/My%20Web%20Sites/bokoboko/www.bokaboka.es/privacidad-y-terminos	(from https://www.bokaboka.es/)
